Unnamed: 0,tfidf_score,term_weights,filename,cik,file_date,ret_3day,ret_4day
1456,0.0381145717701516,0.0179514897757798,20201001_10-Q_edgar_data_16918_0000016918-20-000237_1.txt,16918,2020-10-01,-0.053498173303999974,-0.06176106387932878
1457,0.032268242572263,0.0158225888543367,20201006_10-Q_edgar_data_23217_0001564590-20-045859_1.txt,23217,2020-10-06,,
1458,0.0539984788563848,0.0242967987979016,20201015_10-Q_edgar_data_100517_0000100517-20-000056_1.txt,100517,2020-10-15,-0.029673929953491496,0.015168834768640727
1459,0.0460336392699456,0.0210816259530152,20201008_10-Q_edgar_data_815097_0000815097-20-000101_1.txt,815097,2020-10-08,-0.000294983924654435,-0.03655683442979685
1460,0.0516936012466478,0.0236676008735681,20201001_10-Q_edgar_data_920760_0001628280-20-014126_1.txt,920760,2020-10-01,0.050664233090084165,0.021898166216241854
1461,0.0520366244140344,0.0243812040943348,20201014_10-Q_edgar_data_27904_0000027904-20-000013_1.txt,27904,2020-10-14,-0.03348666935827538,-0.0289116557004494
1462,0.0175451088948126,0.008510822327427,20201009_10-Q_edgar_data_723531_0000723531-20-000059_1.txt,723531,2020-10-09,0.00995449975066598,0.015362402960691135
1463,0.051733192510375,0.0243329606948882,20201019_10-Q_edgar_data_813672_0000813672-20-000027_1.txt,813672,2020-10-19,-0.025912596705137014,-0.03357820580903437
1464,0.0532562137851401,0.0260720417337916,20201019_10-Q_edgar_data_1069202_0001069202-20-000048_1.txt,1069202,2020-10-19,-0.01135594109532867,-0.007294062344739505
1465,0.04890533059579,0.0224312426861079,20200924_10-K_edgar_data_16732_0000016732-20-000111_1.txt,16732,2020-09-24,0.053831216460873854,0.04561314796859639
1466,0.0563882256469368,0.0266882264416765,20201020_10-Q_edgar_data_80424_0000080424-20-000097_1.txt,80424,2020-10-20,-0.0012757798958421551,-0.017035709629935503
1467,0.0433534231119968,0.0197394144373744,20201019_10-Q_edgar_data_1035267_0001035267-20-000166_1.txt,1035267,2020-10-19,-0.007818496786745732,-0.009682579203069919
1468,0.0566993511825945,0.0256407941423425,20201020_10-Q_edgar_data_77360_0000077360-20-000040_1.txt,77360,2020-10-20,0.03227059987222436,0.03732886401503377
1469,0.053412956307816,0.0251340408302433,20201020_10-Q_edgar_data_79879_0000079879-20-000056_1.txt,79879,2020-10-20,-0.01620087637793166,-0.02737625340518357
1470,0.0456411184515153,0.0222240634868027,20201020_10-Q_edgar_data_29905_0000029905-20-000043_1.txt,29905,2020-10-20,0.0036384914308698058,0.008106348635467775
1471,0.0534640884129526,0.0257749220021816,20201022_10-Q_edgar_data_1014473_0001014473-20-000034_1.txt,1014473,2020-10-22,-0.024120666472784547,-0.015504566023783806
1472,0.0362006278646278,0.017612909920034,20201021_10-Q_edgar_data_97476_0001628280-20-014630_1.txt,97476,2020-10-21,-0.02591062934383781,-0.018473271053642826
1473,0.050634248853902,0.0236258116877307,20201015_10-K_edgar_data_1618921_0001618921-20-000082_1.txt,1618921,2020-10-15,0.03551974703461214,0.030197449090812345
1474,0.0522864903578369,0.0270968070778695,20201022_10-Q_edgar_data_1065280_0001065280-20-000451_1.txt,1065280,2020-10-22,-0.07931411217167195,-0.05988950267831583
1475,0.0361427815047921,0.0178285087898069,20201020_10-Q_edgar_data_86312_0000086312-20-000049_1.txt,86312,2020-10-20,0.10969034101588271,0.11098078397349309
1476,0.0429475286059395,0.0205532848421373,20201022_10-Q_edgar_data_1094285_0001094285-20-000163_1.txt,1094285,2020-10-22,-0.00568215222280366,-0.026745482714113922
1477,0.050418480852063,0.0228409501232397,20201022_10-Q_edgar_data_1133421_0001133421-20-000048_1.txt,1133421,2020-10-22,-0.010634642700470431,0.013428996035593999
1478,0.028272097001281,0.0128194833069168,20201021_10-Q_edgar_data_87347_0001564590-20-047045_1.txt,87347,2020-10-21,0.010259100061912774,0.012817527458315103
1479,0.0621633138795576,0.027156847143029,20201019_10-K_edgar_data_723125_0000723125-20-000082_1.txt,723125,2020-10-19,0.03359003219198864,0.033589566416674765
1480,0.0520779073109021,0.0233922018035716,20201022_10-Q_edgar_data_1478242_0001478242-20-000075_1.txt,1478242,2020-10-22,-0.04338344045655984,-0.054430686192488476
1481,0.0501459491819936,0.0244303279373193,20201022_10-Q_edgar_data_277135_0000277135-20-000028_1.txt,277135,2020-10-22,-0.048034112105911686,-0.027868567924230536
1482,0.0195544572753033,0.0092505695847259,20201022_10-Q_edgar_data_100885_0000100885-20-000304_1.txt,100885,2020-10-22,-0.09877166788228331,-0.0959066673350758
1483,0.0409875611080879,0.0190501312301341,20201022_10-Q_edgar_data_1579241_0001579241-20-000075_1.txt,1579241,2020-10-22,-0.03161021794031604,-0.031482689775411576
1484,0.0510040307524227,0.0242454739375376,20201022_10-Q_edgar_data_277948_0000277948-20-000048_1.txt,277948,2020-10-22,0.005848700059434719,-0.004851457267542214
