Unnamed: 0,tfidf_score,term_weights,filename,cik,file_date,ret_3day,ret_4day
0,0.000743239181857,0.0034213692418037,20200124_10-Q_edgar_data_4127_0000004127-20-000007_1 copy.txt,4127,2020-01-24,-0.0396736074330567,-0.02350786238065472
1,0.0005319099443997,0.0036325949941532,20200109_10-Q_edgar_data_1013237_0001013237-20-000015_1.txt,1013237,2020-01-09,-0.010658349179624715,-0.007382518687685691
2,0.0004001026392632,0.0028025044871196,20200102_10-Q_edgar_data_940944_0000940944-20-000003_1.txt,940944,2020-01-02,0.02393469365829559,0.0261444861254978
3,0.0016904480569129,0.0056042491592258,20200103_10-Q_edgar_data_898293_0001193125-20-001434_1.txt,898293,2020-01-03,-0.01663345553526263,-0.00909147365856644
4,0.0004786585740899,0.0028684474887722,20200107_10-Q_edgar_data_1170010_0001170010-20-000002_1.txt,1170010,2020-01-07,-0.007488318793965831,-0.004486593999223132
5,0.0010014857550376,0.0039760983367996,20200123_10-Q_edgar_data_80424_0000080424-20-000017_1.txt,80424,2020-01-23,0.010886985315074926,0.02852421414784434
6,0.0007243385664057,0.0033409528237314,20200108_10-Q_edgar_data_1618921_0001618921-20-000008_1.txt,1618921,2020-01-08,-0.08621208400949387,-0.09268013100004835
7,0.000743239181857,0.0034213692418037,20200124_10-Q_edgar_data_4127_0000004127-20-000007_1.txt,4127,2020-01-24,-0.0396736074330567,-0.02350786238065472
8,0.0001464224419404,0.0022143926656832,20200107_10-Q_edgar_data_320187_0000320187-20-000004_1.txt,320187,2020-01-07,-0.009055394946398176,-0.012698848285197406
9,0.0006224433816251,0.0036307093768796,20200124_10-Q_edgar_data_2969_0000002969-20-000010_1.txt,2969,2020-01-24,0.005338992372569851,0.010725357967063531
10,8.026321930663495e-05,0.0014197714275212,20200109_10-Q_edgar_data_723254_0000723254-20-000003_1.txt,723254,2020-01-09,0.029866596314991778,0.04008855944250134
11,0.000374684405415,0.0034459400357612,20200129_10-Q_edgar_data_1024478_0001024478-20-000005_1.txt,1024478,2020-01-29,0.004396710941139581,0.0025442727525329945
12,0.0008827746942045,0.0030618429888103,20200129_10-K_edgar_data_1065280_0001065280-20-000040_1.txt,1065280,2020-01-29,0.013982138048123094,0.020644885028833326
13,0.00083897596228,0.0032197015733895,20200121_10-K_edgar_data_796343_0000796343-20-000013_1.txt,796343,2020-01-21,0.01933393549203588,0.02552037508542271
14,0.0004006345202733,0.0020539838851017,20200102_10-Q_edgar_data_23217_0001564590-20-000127_1.txt,23217,2020-01-02,,
15,0.0001269465756643,0.0023548372792148,20200108_10-Q_edgar_data_16918_0000016918-20-000007_1.txt,16918,2020-01-08,0.036063693295058874,0.044608526787145886
16,0.0005816613088952,0.0031320520768753,20200128_10-Q_edgar_data_829224_0000829224-20-000012_1.txt,829224,2020-01-28,-0.0477419499928492,-0.054034311237265986
17,0.0002019734084224,0.0016460136807722,20200128_10-Q_edgar_data_882184_0000882184-20-000017_1.txt,882184,2020-01-28,0.04789938696657259,0.04381982772929971
18,0.0007992501480258,0.003178386649974,20200128_10-K_edgar_data_63754_0000063754-20-000022_1.txt,63754,2020-01-28,-0.020505480936682363,-0.028238652818628918
19,0.000668321880784,0.004103253099,20200127_10-Q_edgar_data_857005_0000857005-20-000009_1.txt,857005,2020-01-27,0.008395819621404454,0.0005918783860008325
20,0.0004827683978479,0.0029916699195998,20200129_10-Q_edgar_data_320193_0000320193-20-000010_1.txt,320193,2020-01-29,0.04809916840903927,0.016010725090094824
21,0.0009110865428936,0.0028368362231619,20200128_10-K_edgar_data_815097_0000815097-20-000003_1.txt,815097,2020-01-28,-0.011508796353977835,-0.04506485166905938
22,0.0002874955603405,0.0016113857729708,20200122_10-K_edgar_data_87347_0001564590-20-001578_1.txt,87347,2020-01-22,-0.04402607899463251,-0.05127950458933861
23,0.0001859743807734,0.0043417539238601,20200103_10-Q_edgar_data_1679273_0001558370-20-000031_1.txt,1679273,2020-01-03,0.04732768242729679,0.05329720010518679
24,0.0004214720069732,0.0046933737333113,20200129_10-Q_edgar_data_1385157_0001558370-20-000310_1.txt,1385157,2020-01-29,-0.010726178527871277,-0.033922262290672744
25,0.0006595983535917,0.0033482514612792,20200129_10-Q_edgar_data_859737_0000859737-20-000007_1.txt,859737,2020-01-29,0.009301356013433404,0.010476832719111151
26,0.0015450627066461,0.0049083592627348,20200130_10-Q_edgar_data_1140859_0001140859-20-000008_1.txt,1140859,2020-01-30,-0.018483562797635633,-0.02139982651282657
27,0.0006067468895399,0.0024370815278235,20200129_10-K_edgar_data_1067701_0001067701-20-000008_1.txt,1067701,2020-01-29,-0.03225705743893781,-0.05813334593893793
28,0.0014213553823562,0.0038729088426083,20200130_10-K_edgar_data_1326801_0001326801-20-000013_1.txt,1326801,2020-01-30,-0.051559830474065094,-0.04557827092430633
29,0.0007986219297412,0.0033434567991867,20200130_10-Q_edgar_data_814547_0000814547-20-000003_1.txt,814547,2020-01-30,0.005313584991758602,0.03371630223287503
30,0.0006878466833943,0.0030733418226037,20200130_10-Q_edgar_data_38777_0000038777-20-000011_1.txt,38777,2020-01-30,0.0297244035707388,0.021251230541604826
31,0.000721602354812,0.0042198338107525,20200131_10-Q_edgar_data_1403161_0001403161-20-000012_1.txt,1403161,2020-01-31,-0.006628226989523034,-0.0038048040797384886
32,0.0010719367311037,0.0034431665244396,20200131_10-K_edgar_data_1018724_0001018724-20-000004_1.txt,1018724,2020-01-31,0.091827477464271,0.10569880568951229
33,0.0003869054288192,0.0022570196335084,20200127_10-K_edgar_data_920760_0001628280-20-000559_1.txt,920760,2020-01-27,0.02373581471749253,0.027451801084373173
34,0.000996101418572,0.0029982227352375,20200130_10-K_edgar_data_1133421_0001133421-20-000006_1.txt,1133421,2020-01-30,0.00231577133968075,-0.03050833547865528
35,0.0003738228850347,0.0015559994032918,20200129_10-Q_edgar_data_789019_0001564590-20-002450_1.txt,789019,2020-01-29,0.06451099329720167,0.06318880421198247
36,0.0006696370001226,0.0026967598529537,20200130_10-K_edgar_data_822416_0000822416-20-000007_1.txt,822416,2020-01-30,-0.025399682962639614,-0.02967324407817651
37,0.0016173275817988,0.0033155802119481,20200131_10-Q_edgar_data_1383312_0001383312-20-000013_1.txt,1383312,2020-01-31,-0.08806352743212509,-0.09163938323101273
38,0.0011040942540418,0.0039066820127115,20200131_10-K_edgar_data_1065088_0001065088-20-000006_1.txt,1065088,2020-01-31,0.007645971385815242,0.08437862889716885
39,0.0010563377372438,0.0052137975583256,20200131_10-Q_edgar_data_833444_0000833444-20-000006_1.txt,833444,2020-01-31,-0.016496374901813216,-0.02833249343445976
40,0.000138485566576,0.0012116415590085,20200131_10-Q_edgar_data_943819_0000943819-20-000003_1.txt,943819,2020-01-31,-0.003140935250906862,0.008628965404417377
41,0.0003306064737563,0.0023231622746185,20200131_10-Q_edgar_data_8670_0000008670-20-000007_1.txt,8670,2020-01-31,0.030094944781914434,0.031070092559246865
42,0.0001254920568897,0.00218382768093,20200204_10-Q_edgar_data_21076_0000021076-20-000004_1.txt,21076,2020-02-04,0.023865120332753342,0.02392475787134596
43,0.0007130796316731,0.0033120349194792,20200131_10-K_edgar_data_12927_0000012927-20-000014_1.txt,12927,2020-01-31,-0.0055534189870527495,-0.010130026289100535
44,0.001684387501217,0.0046608723750041,20200204_10-K_edgar_data_2488_0000002488-20-000008_1.txt,2488,2020-02-04,0.033245390587734125,0.0239579666990255
45,0.001335893853388,0.0057789175132805,20200204_10-Q_edgar_data_52988_0000052988-20-000019_1.txt,52988,2020-02-04,0.01842729189094583,0.01231417908781074
46,0.000961181290397,0.0039893706595175,20200204_10-K_edgar_data_1652044_0001652044-20-000008_1.txt,1652044,2020-02-04,-0.017917316458149424,0.004741331969442042
47,0.0005283708341773,0.0027649125476428,20200130_10-K_edgar_data_1166691_0001166691-20-000008_1.txt,1166691,2020-01-30,0.0020544933950729094,-0.014466760279606472
